id	text	title
0	Susan Lewis :: Susan is one of ER's original characters, first seen in Season 1 as an eager resident. Hailing from Sevenacre Rapids, Illinois, Susan led somewhat of an eventful childhood. She was bullied for being overweight, later to which she discovered her best friend Linda Turley was behind the bullying. Susan attended Arizona State University, graduating from Jefferson College with first class honours. She left County General Hospital and the series in Season 3, but returned five seasons later as an attending physician in Season 8. Susan Lewis eventually checked out of the ER for good in 2005 at the beginning of Season 12, having been passed over for tenure in favor of John Carter by Kerry Weaver. She was offered a tenured position at a hospital in Wales.	Susan Lewis
1	"Fiddler on the Roof :: Fiddler on the Roof is a musical with music by Jerry Bock, lyrics by Sheldon Harnick, and book by Joseph Stein, set in the Pale of Settlement of Imperial Russia in 1905. It is based on ""Tevye and his Daughters"" (or ""Tevye the Dairyman"") and other tales by Sholem Aleichem. The story centers on Tevye, the father of five daughters, and his attempts to maintain his Jewish religious and cultural traditions as outside influences encroach upon the family's lives. He must cope both with the strong-willed actions of his three older daughters, who wish to marry for love – each one's choice of a husband moves further away from the customs of their Jewish faith and heritage – and with the edict of the Tsar that evicts the Jews from their village."	Fiddler on the Roof
2	Bears–Packers rivalry :: The rivalry began in and is the league's most played, with 198 regular-season and post-season games. The rivalry is not the league's longest continuous rivalry, as the 1982 strike-shortened NFL season did not include a Bears–Packers game. That title goes to the rivalry between the Packers and the Detroit Lions, who have played each other at least twice a year since 1932. The Packers and Bears have played in the same conference or division since the NFL went to a conference format in 1933; they played in the NFL's Western Conference from 1933 to 1970, and have been in the NFC North since 1970 (known as the NFC Central from 1970–2001). As such, they usually play each other twice every regular season.	Bears–Packers rivalry
3	Voting age :: A voting age is a minimum age established by law that a person must attain before they become eligible to vote in a public election. Today, the most common voting age is 18 years; however, voting ages as low as 16 and as high as 25 currently exist (see list below). Most countries have set a minimum voting age, often set in their constitution. In a number of countries voting is compulsory for those eligible to vote, while in most it is optional.	Voting age
4	History of self-driving cars :: Experiments have been conducted on self-driving cars since at least the 1920s; promising trials took place in the 1950s and work has proceeded since then. The first self-sufficient and truly autonomous cars appeared in the 1980s, with Carnegie Mellon University's Navlab and ALV projects in 1984 and Mercedes-Benz and Bundeswehr University Munich's Eureka Prometheus Project in 1987. Since then, numerous major companies and research organizations have developed working prototype autonomous vehicles including Mercedes-Benz, General Motors, Continental Automotive Systems, Autoliv Inc., Bosch, Nissan, Toyota, Audi, Volvo, Vislab from University of Parma, Oxford University and Google. In July 2013, Vislab demonstrated BRAiVE, a vehicle that moved autonomously on a mixed traffic route open to public traffic.	History of self-driving cars
5	Bocca della Verità :: The Mouth of Truth ( ) is a marble mask in Rome, Italy, which stands against the left wall of the portico of the Santa Maria in Cosmedin church, at the Piazza della Bocca della Verità, the site of the ancient Forum Boarium (the ancient cattle market). It attracts visitors who audaciously stick their hand in the mouth.	Bocca della Verità
6	1824 United States presidential election :: The Democratic-Republican Party had won six consecutive presidential elections and was the only national political party. The Congressional caucus nominated Treasury Secretary William H. Crawford for president. Senator Andrew Jackson, House Speaker Henry Clay, and Secretary of State Adams all joined Crawford in seeking the presidency, highlighting factionalism within the party and an end to the Era of Good Feelings. A fifth candidate, John C. Calhoun, withdrew, instead choosing to run for vice president.	1824 United States presidential election
7	Children's Online Privacy Protection Act :: The act, effective April 21, 2000, applies to the online collection of personal information by persons or entities under U.S. jurisdiction about children under 13 years of age. It details what a website operator must include in a privacy policy, when and how to seek verifiable consent from a parent or guardian, and what responsibilities an operator has to protect children's privacy and safety online including restrictions on the marketing of those under 13.	Children's Online Privacy Protection Act
8	"8 Mile (film) :: 8 Mile is a 2002 American drama film written by Scott Silver, directed by Curtis Hanson, and starring Eminem, Mekhi Phifer, Brittany Murphy, Michael Shannon, Anthony Mackie and Kim Basinger. The film follows white rapper B-Rabbit (Eminem) and his attempt to launch a career in a genre dominated by African-Americans. The title is derived from 8 Mile Road, the highway between the predominantly black city of Detroit and Wayne County and the predominantly white Oakland County and Macomb County suburbs. It was filmed mostly on location. ""8 Mile"" was a critical and commercial success. Eminem won the Academy Award for Best Original Song for ""Lose Yourself""."	8 Mile (film)
9	"Grease (song) :: ""Grease"" is a song written by Barry Gibb and performed by Frankie Valli. ""Grease"" is the title song for the 1978 musical motion picture ""Grease"", which was based on the stage play of the same name. It sold over seven million copies worldwide and was featured twice on the film's soundtrack, as the first track and reprised as the final track. This track was specifically written for the 1978 musical motion picture and was not used in the stage production of ""Grease""."	Grease (song)
10	List of NBA players with most championships :: Boston Celtics center Bill Russell holds the record for the most NBA championships won with 11 titles during his 13-year playing career. He won his first championship with the Boston Celtics in his rookie year. Afterwards, he went on to win ten championships in the next 12 years, including eight consecutive championships from 1959 to 1966. He won the last two championships in 1968 and 1969 as player-coach. Russell's teammate, Sam Jones, won ten championships from 1959 to 1969, the second most in NBA history. Four Celtics players, Tom Heinsohn, K. C. Jones, Satch Sanders and John Havlicek, won eight championships each, with Havlicek being the only one to win championships independently of Russell. Two other Celtics, Jim Loscutoff and Frank Ramsey, won seven championships each. Four players, Bob Cousy, Kareem Abdul-Jabbar, Michael Jordan and Scottie Pippen, won six championships each. Jordan and Pippen are members of the Chicago Bulls team who won three consecutive championships twice in the 1990s. George Mikan won two championships in the NBL before it merged with the BAA to form the NBA, and won five championships in the NBA. No active player has won four or more championships, but several players have won three.	List of NBA players with most championships
11	Houston Astros :: The Houston Astros are an American professional baseball team based in Houston, Texas. The Astros compete in Major League Baseball (MLB) as a member club of the American League (AL) West division, having moved to the division in 2013 after spending their first 51 seasons in the National League (NL). The Astros have played their home games at Minute Maid Park since 2000.	Houston Astros
12	"U.S. history of alcohol minimum purchase age by state :: The alcohol laws of the United States regarding minimum age for purchase have changed over time. This history is given in the table below. Unless otherwise noted, if different alcohol categories have different minimum purchase ages, the age listed below is set at the ""lowest age given"" (e.g. if the purchase age is 18 for beer and 21 for wine or spirits, as was the case in several states, the age in the table will read as ""18"", not ""21""). In addition, the ""purchase age"" is not necessarily the same as the minimum age for ""consumption"" of alcoholic beverages, although they have often been the same."	U.S. history of alcohol minimum purchase age by state
13	The Adventures of Tom Sawyer :: The Adventures of Tom Sawyer by Mark Twain is an 1876 novel about a young boy growing up along the Mississippi River. It is set in the 1840s in the fictional town of St. Petersburg, inspired by Hannibal, Missouri, where Twain lived as a boy. In the novel Tom Sawyer has several adventures, often with his friend, Huckleberry Finn. Originally a commercial failure, the book ended up being the best selling of any of Twain's works during his lifetime.	The Adventures of Tom Sawyer
14	"Sweetener (album) :: Sweetener is the fourth studio album by American singer Ariana Grande. It was released on August 17, 2018, through Republic Records. The album is the follow-up to her 2016 studio album, ""Dangerous Woman"", and features guest appearances from Pharrell Williams, Nicki Minaj and Missy Elliott."	Sweetener (album)
15	Banking in Karnataka :: The state of Karnataka, particularly the region comprising the coastal districts of Dakshina Kannada and Udupi, is called the cradle of banking in India. This is because seven of the country's leading banks, Canara Bank, Syndicate Bank, Corporation Bank, Vijaya Bank, Karnataka Bank, Vysya Bank and the State Bank of Mysore originated from this state. The first five in the above list of banks were established in the districts of Udupi and Dakshina Kannada. These districts have one among the best distribution of banks in India - a branch for every 500 persons. Between 1880 and 1935, 22 banks were established in coastal Karnataka, nine of them in the city of Mangalore.	Banking in Karnataka
16	"By the Light of the Silvery Moon (song) :: ""By The Light of the Silvery Moon"" or ""By the Light of the Silv'ry Moon"" is a popular song. The music was written by Gus Edwards, and the lyrics by Edward Madden. The song was published in 1909 and first performed on stage by Lillian Lorraine in the ""Ziegfeld Follies of 1909"". It was one of a series of moon-related Tin Pan Alley songs of the era. The song was also used in the short-lived Broadway show ""Miss Innocence"" (September 27-October 9, 1909) when it was sung by Frances Farr."	By the Light of the Silvery Moon (song)
17	"Mater (Cars) :: Sir Tow Mater , most commonly referred to as Tow Mater or simply Mater, is one of the main characters in ""Cars"" and its sequels, ""Cars 2"" and ""Cars 3"" as well as ""Cars Toons"". He is voiced by Larry the Cable Guy and inspired by a 1956–57 International Harvester Tow truck. Portrayed as Holley Shiftwell's boyfriend and best friend and Lightning McQueen's best friend and sidekick, he had a breakout role in ""Cars Toons: Mater's Tall Tales"" and in other media related to ""Cars""."	Mater (Cars)
18	"Dutch auction :: A Dutch auction is one of several similar kinds of auctions. Most commonly, it means an auction in which the auctioneer begins with a high asking price, and lowers it until some participant accepts the price, or it reaches a predetermined reserve price. This has also been called a ""clock auction"" or ""open-outcry descending-price auction"". This type of auction is good for auctioning goods quickly, since a sale never requires more than one bid. Strategically, it's similar to a first-price sealed-bid auction."	Dutch auction
19	"Chrisley Knows Best :: Chrisley Knows Best is an American reality television series airing on the USA Network. It centers around the lives of wealthy Georgia real estate mogul Todd Chrisley and his family. The show formerly took place in Roswell and Alpharetta, Georgia, both near Atlanta. The show is currently in its seventh season, which was filmed mainly in Nashville, Tennessee. A spin-off focusing on Chase and Savannah called ""Growing Up Chrisley"", also on USA, premiered on April 2, 2019."	Chrisley Knows Best
20	Military history of New Zealand during World War I :: The total number of New Zealand troops and nurses to serve overseas in 1914–18, excluding those in British and other Dominion forces, was 100,444, from a population of just over a million. Forty-two percent of men of military age served in the New Zealand Expeditionary Force, fighting in the Gallipoli Campaign and on the Western Front. 16,697 New Zealanders were killed and 41,317 were wounded during the war – a 58 percent casualty rate. Approximately a further thousand men died within five years of the war's end, as a result of injuries sustained, and 507 died while training in New Zealand between 1914 and 1918.	Military history of New Zealand during World War I
21	"Black Water (song) :: ""Black Water"" is a song recorded by the American music group The Doobie Brothers from their 1974 album ""What Were Once Vices Are Now Habits"": the track - which features its composer Patrick Simmons on lead vocals - in mid-March 1975 became the first of the two Doobie Brothers' #1 hit singles."	Black Water (song)
22	"English longbow :: The earliest longbow known, from what is now England, found at Ashcott Heath, Somerset, is dated to 2665 BC, but no longbows survive from the period when the longbow was dominant (c. 1250–1450 AD), probably because bows became weaker, broke and were replaced, rather than being handed down through generations. More than 130 bows survive from the Renaissance period, however. More than 3,500 arrows and 137 whole longbows were recovered from the ""Mary Rose"", a ship of Henry VIII's navy that sank at Portsmouth in 1545."	English longbow
23	"The Man Nobody Knows :: The Man Nobody Knows (1925) is the second book by the American author and advertising executive Bruce Fairchild Barton. In it, Barton presents Jesus as ""[t]he Founder of Modern Business,"" in an effort to make the Christian story accessible to businessmen of the time."	The Man Nobody Knows
24	2018 FIFA World Cup :: The 2018 FIFA World Cup was the 21st FIFA World Cup, an international football tournament contested by the men's national teams of the member associations of FIFA once every four years. It took place in Russia from 14 June to 15 July 2018. It was the first World Cup to be held in Eastern Europe, and the 11th time that it had been held in Europe. At an estimated cost of over $14.2 billion, it was the most expensive World Cup. It was also the first World Cup to use the video assistant referee (VAR) system.	2018 FIFA World Cup
25	"London :: London is the capital of and largest city in England and the United Kingdom, with the largest municipal population in the European Union. Standing on the River Thames in the south-east of England, at the head of its estuary leading to the North Sea, London has been a major settlement for two millennia. ""Londinium"" was founded by the Romans. The City of London, London's ancient core − an area of just and colloquially known as the Square Mile − retains boundaries that follow closely its medieval limits. The City of Westminster is also an Inner London borough holding city status. Greater London is governed by the Mayor of London and the London Assembly."	London
26	"List of Roman emperors :: The Roman emperors were the rulers of the Roman Empire dating from the granting of the title of to Gaius Julius Caesar Octavianus by the Roman Senate in 27 BC. Augustus maintained a façade of Republican rule, rejecting monarchical titles but calling himself (first man of the council) and (first citizen of the state). The title of Augustus was conferred on his successors to the imperial position. The style of government instituted by Augustus is called the Principate and continued until reforms by Diocletian. The modern word 'emperor' derives from the title , which was granted by an army to a successful general; during the initial phase of the empire, the title was generally used only by the . For example, Augustus' official name was ""Imperator Caesar Divi Filius Augustus""."	List of Roman emperors
27	"Can't You See (The Marshall Tucker Band song) :: ""Can't You See"" is a song written by Toy Caldwell of The Marshall Tucker Band. The song was originally recorded by the band on their 1973 debut album, ""The Marshall Tucker Band"", and released as the album's first single. It was re-released in 1977 and peaked at number 75 on the ""Billboard"" Hot 100. Cover versions of ""Can't You See"" have charted for Waylon Jennings (in 1976) and the Zac Brown Band with Kid Rock (2010)."	Can't You See (The Marshall Tucker Band song)
28	Surgeon General of the United States :: The U.S. surgeon general is nominated by the president of the United States and confirmed by the Senate. The surgeon general must be appointed from individuals who (1) are members of the Regular Corps of the U.S. Public Health Service, and (2) have specialized training or significant experience in public health programs. The surgeon general serves a four-year term of office and, depending on whether the current assistant secretary for health is a Public Health Service commissioned officer, is either the senior or next most senior uniformed officer of the commissioned corps, holding the rank of a vice admiral. The current surgeon general is Jerome Adams, having taken office on September 5, 2017.	Surgeon General of the United States
29	"2017 World Series :: The 2017 World Series was the championship series of Major League Baseball's (MLB) 2017 season. The 113th edition of the World Series, it was played between October 24 and November 1. The series was a best-of-seven playoff between the National League (NL) champion Los Angeles Dodgers and the American League (AL) champion Houston Astros. It was sponsored by the Internet television service YouTube TV and officially known as the ""2017 World Series presented by YouTube TV""."	2017 World Series
30	Apostolic Faith Church :: The Apostolic Faith Church, formerly the Apostolic Faith Mission, is a Pentecostal Christian denomination, with nationwide reach and headquartered in Portland, Oregon, United States. The Apostolic Faith Mission of Portland was founded in 1906 by Florence L. Crawford, who was affiliated with William J. Seymour and the Azusa Street Revival of Los Angeles, California. By 1908 Crawford had independently founded what would become the Apostolic Faith Church. Since July 2000, the Superintendent General of the Apostolic Faith Church has been Darrel Lee.	Apostolic Faith Church
31	"Murphy Brown :: Murphy Brown is an American sitcom created by Diane English that premiered on November 14, 1988, on CBS. The series stars Candice Bergen as the eponymous Murphy Brown, a famous investigative journalist and news anchor for ""FYI"", a fictional CBS television newsmagazine, and later for ""Murphy in the Morning"", a cable morning news show."	Murphy Brown
32	List of states and territories of the United States by population :: As of April 1, 2010, the date of the 2010 United States Census, the 9 most populous U.S. states contain slightly more than half of the total population. The 25 least populous states contain less than one-sixth of the total population. California, the most populous state, contains more people than the 21 least populous states combined, and Wyoming, the least populous state, has a population less than that of the 31 most populous U.S. cities.	List of states and territories of the United States by population
33	2007 enlargement of the European Union :: The 2007 enlargement of the European Union saw Bulgaria and Romania join the European Union (EU) on 1 January 2007. Together with the 2004 enlargement of the European Union, it is considered part of the fifth wave of enlargement of the European Union.	2007 enlargement of the European Union
34	Characters of The Legend of Zelda :: The series centers on Link, the playable character and chief protagonist. Link is often given the task of rescuing Princess Zelda and the kingdom of Hyrule from Ganon, who is the series' principal antagonist; however, other settings and antagonists have appeared in several games. The plots commonly involve a relic known as the Triforce, a set of three omnipotent golden triangles.	Characters of The Legend of Zelda
35	College Area, San Diego :: The College Area is a neighborhood of the Mid-City region of San Diego, California, United States. The College Area is dominated by San Diego State University (SDSU; once known as San Diego State College), after which the area is named. Several neighborhoods in the College Area were developed in the 1930s, with others becoming established in the post-war period. The College Area is bordered on the west by Kensington and Talmadge and on the east by the city of La Mesa. El Cajon Boulevard is a busy shopping district; additional retail is in development near SDSU.	College Area, San Diego
36	"Charlotte Drake :: Charlotte was introduced in the third season using the pseudonym CeCe Drake. Acting as a best friend and mentor to Alison DiLaurentis, CeCe moved back to Rosewood two years after Alison's disappearance. Having stolen the game from Mona Vanderwaal, Drake acted as the leader of the A-Team, recruiting minions to do her bidding whilst also concealing her identity from them as Red Coat. Following the events from ""A Dangerous Game"", the group disbanded and her schemes were from then on primarily assisted by a single ally, later divulged to be Sara Harvey."	Charlotte Drake
37	"Beauty and the Beast (1991 film) :: Beauty and the Beast is a 1991 American animated musical romantic fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 30th Disney animated feature film and the third released during the Disney Renaissance period, it is based on the French fairy tale of the same name by Jeanne-Marie Leprince de Beaumont (who was uncredited in the English version but credited in the French version), and ideas from the 1946 French film of the same name directed by Jean Cocteau. ""Beauty and the Beast"" focuses on the relationship between the Beast (voice of Robby Benson), a prince who is magically transformed into a monster and his servants into household objects as punishment for his arrogance, and Belle (voice of Paige O'Hara), a young woman whom he imprisons in his castle to become a prince again. To break the curse, Beast must learn to love Belle and earn her love in return before the last petal falls from an enchanted rose or else the Beast will remain a monster forever. The film also features the voices of Richard White, Jerry Orbach, David Ogden Stiers, and Angela Lansbury."	Beauty and the Beast (1991 film)
38	"The Phantom of the Opera (2004 film) :: The Phantom of the Opera is a 2004 British–American musical drama film based on Andrew Lloyd Webber's 1986 musical of the same name, which in turn is based on the French novel ""Le Fantôme de l'Opéra"" by Gaston Leroux. Produced and co-written by Lloyd Webber and directed by Joel Schumacher, it stars Gerard Butler in the title role, Emmy Rossum, Patrick Wilson, Miranda Richardson, Minnie Driver, and Jennifer Ellison."	The Phantom of the Opera (2004 film)
39	The Perks of Being a Wallflower :: The Perks of Being a Wallflower is a coming-of-age epistolary novel by American writer Stephen Chbosky, which was first published on February 1, 1999, by Pocket Books. Set in the early 1990s, the novel follows Charlie, an introverted teenager, through his freshman year of high school in a Pittsburgh suburb. The novel details Charlie's unconventional style of thinking as he navigates between the worlds of adolescence and adulthood, and attempts to deal with poignant questions spurred by his interactions with both his friends and family.	The Perks of Being a Wallflower
40	"Damn I Wish I Was Your Lover :: ""Damn I Wish I Was Your Lover"" is a song written, composed, recorded, and released by singer-songwriter Sophie B. Hawkins. Released in 1992 from her debut album ""Tongues and Tails,"" the song achieved success in many countries worldwide; in the United States, it reached number five on the ""Billboard"" Hot 100. It also reached the top 10 in Australia, Canada, New Zealand, and Norway. In the United Kingdom, the single peaked at number 14 on the UK Singles Chart, becoming Hawkins' second-highest chart position on that chart after ""Right Beside You"", which reached number 13 in 1994."	Damn I Wish I Was Your Lover
41	"American Pie 2 :: The film tells the story of five friends Jim, Kevin, Steve (""Stifler""), Chris (""Oz"") and Paul (""Finch"") and their attempts to have the greatest summer party ever. Much of the film takes place at a summer beach house in Grand Haven, Michigan, per Kevin's older brother's suggestion."	American Pie 2
42	Jacksonville Jaguars :: The Jaguars and the Carolina Panthers joined the NFL as expansion teams for the 1995 season. Since their inception, the Jaguars have won division championships in 1998 and 1999 (as members of the now-defunct AFC Central) and 2017 (as members of the AFC South) and have qualified for the playoffs seven times, most recently in 2017 after a ten-season playoff drought.	Jacksonville Jaguars
43	World Blood Donor Day :: Every year on 14 June, countries around the world celebrate World Blood Donor Day (WBDD). The event, established in 2004, serves to raise awareness of the need for safe blood and blood products, and to thank blood donors for their voluntary, life-saving gifts of blood.	World Blood Donor Day
44	"Country Strong :: Country Strong (originally titled ""Love Don't Let Me Down"") is a 2010 drama film starring Gwyneth Paltrow, Tim McGraw, Garrett Hedlund, and Leighton Meester. The film, about an emotionally unstable country music star who attempts to resurrect her career, was directed and written by American filmmaker Shana Feste. It premiered in Nashville, Tennessee on November 8, 2010, and had a wide release in the United States on January 7, 2011. This is the second film in which McGraw and Hedlund have worked together, the first being ""Friday Night Lights"" in 2004."	Country Strong
45	World population :: The world population has experienced continuous growth following the Great Famine of 1315–1317 and the end of the Black Death in 1350, when it was near 370 million.	World population
46	"PAW Patrol :: The series focuses on a young boy named Ryder who leads a crew of search and rescue dogs that call themselves the PAW Patrol. They work together on missions to protect the shoreside community of Adventure Bay. Each dog has a specific set of skills based on emergency services professions, such as a firefighter, a police officer, and an aviation pilot. They all reside in doghouses that transform into customized vehicles for their missions. They are also equipped with backpacks called ""pup packs"" that contain tools that relate to the pups' jobs."	PAW Patrol
47	Cabbage Patch Kids :: Cabbage Patch Kids are a line of soft sculptured dolls sold by Xavier Roberts and registered in the United States copyright office in 1978 as 'The Little People'. The brand was renamed 'Cabbage Patch Kids' when the dolls went into mass production in 1982.	Cabbage Patch Kids
48	Tooth decay :: Tooth decay, also known as dental caries or cavities, is a breakdown of teeth due to acids made by bacteria. The cavities may be a number of different colors from yellow to black. Symptoms may include pain and difficulty with eating. Complications may include inflammation of the tissue around the tooth, tooth loss, and infection or abscess formation.	Tooth decay
49	Made in Dagenham :: Made in Dagenham is a 2010 British film directed by Nigel Cole. The film stars Sally Hawkins, Bob Hoskins, Miranda Richardson, Geraldine James, Rosamund Pike, Andrea Riseborough, Jaime Winstone, Daniel Mays and Richard Schiff. It dramatises the Ford sewing machinists strike of 1968 that aimed for equal pay for women. The film's theme song, with lyrics by Billy Bragg, is performed by Sandie Shaw, herself a native of the area and a former Ford Dagenham clerk.	Made in Dagenham
